,adress,city,room_type,rent,surface m2,furnish,availability,latitude,longitude,utilities,link,living_room,kitchen,shower,toilet,internet,energy_label,pets,room,geometry
0,Hollandseweg,Wageningen,Apartment,1450,83,Furnished,14-05-'22 - Indefinite period  1d,51.979498,5.672876,excluded,https://kamernet.nl/en/for-rent/apartment-wageningen/hollandseweg/apartment-2034402,Own,Own,Own,Own,No,Unknown,No,5,POINT (5.672876 51.979498)
1,Generaal Foulkesweg,Wageningen,Room,395,20,Unfurnished,01-05-'22 - 01-01-'23  5d,51.96705,5.683232,included,https://kamernet.nl/en/for-rent/room-wageningen/generaal-foulkesweg/room-2033680,Unknown,Shared,Shared,Shared,Yes,Unknown,More than 8,1,POINT (5.683232 51.96705)
2,Gruttoweide,Wageningen,Room,395,14,Unfurnished,01-04-'22 - Indefinite period  1w,51.97683,5.650604,included,https://kamernet.nl/en/for-rent/room-wageningen/gruttoweide/room-2033172,Own,Own,Shared,Shared,Yes,Unknown,2,1,POINT (5.650604 51.97683)
3,Van Uvenweg,Wageningen,Room,250,8,Furnished,01-04-'22 - Indefinite period  1w,51.973379,5.661662,included,https://kamernet.nl/en/for-rent/room-wageningen/van-uvenweg/room-2033107,Unknown,Own,Shared,Shared,Yes,Unknown,1,1,POINT (5.661662 51.973379)
4,Plantsoen,Wageningen,Room,477,19,Unfurnished,29-03-'22 - Indefinite period  2w,51.967282,5.663013,included,https://kamernet.nl/en/for-rent/room-wageningen/plantsoen/room-2032381,Shared,Shared,Shared,Shared,Yes,Unknown,4,1,POINT (5.663013 51.967282)
5,Lawickse Allee,Wageningen,Room,615,29,Unfurnished,01-05-'22 - Indefinite period  2w,51.968427,5.663404,included,https://kamernet.nl/en/for-rent/room-wageningen/lawickse-allee/room-2032150,Own,Shared,Shared,Shared,Yes,Unknown,2,1,POINT (5.663404 51.968427)
6,Bevrijdingsstraat,Wageningen,Room,415,16,Unfurnished,01-05-'22 - 30-09-'23  2w,51.968823,5.66824,included,https://kamernet.nl/en/for-rent/room-wageningen/bevrijdingsstraat/room-2032027,Unknown,Shared,Shared,Shared,Yes,Unknown,5,1,POINT (5.66824 51.968823)
7,Herenstraat,Wageningen,Room,225,25,Unfurnished,04-09-'22 - Indefinite period  2w,51.965488,5.664905,included,https://kamernet.nl/en/for-rent/room-wageningen/herenstraat/room-2031968,Shared,Shared,Shared,Shared,Yes,Unknown,More than 8,1,POINT (5.664905 51.965488)
8,Generaal Foulkesweg,Wageningen,Room,335,13,Unfurnished,01-05-'22 - 01-01-'23  2w,51.96705,5.683232,included,https://kamernet.nl/en/for-rent/room-wageningen/generaal-foulkesweg/room-2031899,Unknown,Shared,Shared,Shared,Yes,Unknown,More than 8,1,POINT (5.683232 51.96705)
9,Generaal Foulkesweg,Wageningen,Room,415,22,Unfurnished,15-04-'22 - 01-01-'23  2w,51.96705,5.683232,included,https://kamernet.nl/en/for-rent/room-wageningen/generaal-foulkesweg/room-2031898,Unknown,Shared,Shared,Shared,Yes,Unknown,More than 8,1,POINT (5.683232 51.96705)
10,Bergstraat,Wageningen,Room,431,16,Unfurnished,17-04-'22 - Indefinite period  3w,51.967366,5.666038,excluded,https://kamernet.nl/en/for-rent/room-wageningen/bergstraat/room-2030817,Unknown,Shared,Shared,Shared,Yes,Unknown,2,1,POINT (5.666038 51.967366)
11,Roghorst,Wageningen,Room,555,28,Furnished,25-04-'22 - Indefinite period  4w,51.978997,5.666493,included,https://kamernet.nl/en/for-rent/room-wageningen/roghorst/room-2028722,Own,Own,Shared,Own,Yes,A,1,1,POINT (5.666493 51.978997)
12,Velperbuitensingel,Arnhem,Apartment,1095,70,Unfurnished,01-05-'22 - Indefinite period  New!,51.982302,5.915139,excluded,https://kamernet.nl/en/for-rent/apartment-arnhem/velperbuitensingel/apartment-2034953,Own,Own,Own,Own,Yes,Unknown,No,2,POINT (5.915139 51.982302)
